"time (hrs)"	"OD600"	"strain"	"medium"	"biorep"	"techrep"
42.0016666666667	0.607	"ura3"	"CM_uracil"	"A"	3
42.5016666666667	0.62	"ura3"	"CM_uracil"	"A"	3
43.0016666666667	0.61	"ura3"	"CM_uracil"	"A"	3
43.5016666666667	0.613	"ura3"	"CM_uracil"	"A"	3
44.0016666666667	0.62	"ura3"	"CM_uracil"	"A"	3
44.5016666666667	0.627	"ura3"	"CM_uracil"	"A"	3
45.0016666666667	0.623	"ura3"	"CM_uracil"	"A"	3
45.5016666666667	0.626	"ura3"	"CM_uracil"	"A"	3
46.0016666666667	0.635	"ura3"	"CM_uracil"	"A"	3
46.5016666666667	0.623	"ura3"	"CM_uracil"	"A"	3
47.0016666666667	0.636	"ura3"	"CM_uracil"	"A"	3
47.5016666666667	0.659	"ura3"	"CM_uracil"	"A"	3
48.0016666666667	0.623	"ura3"	"CM_uracil"	"A"	3
48.5016666666667	0.684	"ura3"	"CM_uracil"	"A"	3
49.0016666666667	0.606	"ura3"	"CM_uracil"	"A"	3
49.5016666666667	0.633	"ura3"	"CM_uracil"	"A"	3
50.0016666666667	0.639	"ura3"	"CM_uracil"	"A"	3
50.5016666666667	0.626	"ura3"	"CM_uracil"	"A"	3
51.0016666666667	0.644	"ura3"	"CM_uracil"	"A"	3
51.5016666666667	0.66	"ura3"	"CM_uracil"	"A"	3
52.0016666666667	0.633	"ura3"	"CM_uracil"	"A"	3
52.5016666666667	0.642	"ura3"	"CM_uracil"	"A"	3
53.0016666666667	0.657	"ura3"	"CM_uracil"	"A"	3
53.5016666666667	0.655	"ura3"	"CM_uracil"	"A"	3
54.0016666666667	0.653	"ura3"	"CM_uracil"	"A"	3
54.5016666666667	0.659	"ura3"	"CM_uracil"	"A"	3
55.0016666666667	0.652	"ura3"	"CM_uracil"	"A"	3
55.5016666666667	0.74	"ura3"	"CM_uracil"	"A"	3
56.0016666666667	0.578	"ura3"	"CM_uracil"	"A"	3
56.5016666666667	0.67	"ura3"	"CM_uracil"	"A"	3
57.0016666666667	0.672	"ura3"	"CM_uracil"	"A"	3
